Cmdline: /system/bin/simpleperf record --app com.example.openxcpro.debug --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --add-meta-info app_type=debuggable -f 400 --duration 95
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 63564
Event count: 255784272155

Overhead  Sample  Command                      Pid    Tid    Shared Object                                                                                                                     Symbol
3.53%     1909    com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
2.46%     1235    com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
1.95%     937     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
1.49%     801     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
1.28%     615     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             NterpGetMethod
0.83%     431     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             NterpGetInstanceFieldOffset
0.75%     368     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::mirror::Class::FindClassMethod(art::ObjPtr<art::mirror::DexCache>, unsigned int, art::PointerSize)
0.72%     420     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             artQuickGenericJniTrampoline
0.69%     317     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::Jit::MaybeDoOnStackReplacement(art::Thread*, art::ArtMethod*, unsigned int, int, art::JValue*)
0.58%     283     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             __aarch64_cas4_acq
0.55%     313     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::JniDecodeReferenceResult(_jobject*, art::Thread*)
0.54%     308     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::Mutex::ExclusiveLock(art::Thread*)
0.51%     279     RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!9d2340256df89912f04e05d7f782e6!0c393b63cf!
0.47%     236     com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   art_jni_trampoline
0.44%     238     RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_ldadd4_rel
0.36%     207     RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+a940b4]
0.35%     204     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ArtMethod::GetShorty(unsigned int*)
0.35%     245     Jit thread pool              15948  15955  [vdso]                                                                                                                            __kernel_clock_gettime
0.35%     199     com.example.openxcpro.debug  15948  15948  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __strcmp_aarch64
0.32%     164     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.__uniq.112435418011751916792819755956732575238.llvm.1949915194566060767)
0.32%     181     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art_quick_imt_conflict_trampoline
0.30%     177     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::CodeInfo::CodeInfo(unsigned char const*, unsigned long*)
0.29%     183     Jit thread pool              15948  15955  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_ldadd4_rel
